PREDICT,TRUE,ERROR
580,580,0
913,910,-3
590,590,0
590,590,0
1230,1230,0
444,430,-14
560,560,0
622,620,-2
647,660,13
620,620,0
870,870,0
517,520,3
540,540,0
1094,1060,-34
683,690,7
1360,1360,0
0,0,0
540,530,-10
1230,1230,0
810,810,0
640,640,0
370,370,0
533,530,-3
473,690,217
530,530,0
740,740,0
590,590,0
1030,1030,0
530,530,0
540,540,0
591,540,-51
774,810,36
1230,1230,0
480,480,0
973,1000,27
500,500,0
520,520,0
820,820,0
1030,1030,0
580,580,0
515,520,5
400,400,0
1240,1240,0
680,680,0
928,940,12
544,530,-14
1240,1240,0
681,680,-1
580,560,-20
1240,1240,0
890,890,0
898,900,2
760,740,-20
820,820,0
940,940,0
900,900,0
0,0,0
0,0,0
580,580,0
430,430,0
552,530,-22
1230,1230,0
400,400,0
0,0,0
718,730,12
669,670,1
560,560,0
690,690,0
760,760,0
590,610,20
554,560,6
760,760,0
760,760,0
900,900,0
550,520,-30
1030,1030,0
820,820,0
794,820,26
590,590,0
620,620,0
400,400,0
647,660,13
590,590,0
522,520,-2
1230,1230,0
1360,1360,0
722,790,68
1060,1060,0
1360,1360,0
1030,1030,0
500,500,0
808,810,2
760,760,0
900,900,0
530,530,0
736,760,24
640,640,0
910,910,0
820,820,0
900,900,0
550,550,0
0,0,0
740,740,0
740,740,0
700,700,0
1230,1230,0
660,660,0
314,0,-314
530,530,0
580,580,0
890,890,0
1240,1240,0
500,500,0
740,740,0
771,780,9
760,760,0
870,870,0
868,870,2
677,690,13
654,530,-124
1230,1230,0
441,400,-41
610,610,0
850,850,0
827,820,-7
810,810,0
661,660,-1
1230,1230,0
647,620,-27
620,620,0
590,590,0
940,940,0
540,540,0
580,580,0
504,560,56
860,890,30
1240,1240,0
829,820,-9
590,590,0
580,580,0
1030,1030,0
1230,1230,0
909,1000,91
1360,1360,0
584,610,26
603,580,-23
540,540,0
590,590,0
610,610,0
700,690,-10
1070,1070,0
823,820,-3
430,430,0
610,610,0
430,430,0
672,670,-2
501,500,-1
530,530,0
543,540,-3
1360,1360,0
1230,1230,0
820,820,0
430,430,0
500,500,0
1240,1240,0
451,430,-21
690,690,0
1230,1230,0
439,430,-9
603,690,87
590,590,0
758,730,-28
690,690,0
1230,1230,0
930,930,0
614,620,6
0,0,0
690,690,0
777,790,13
430,430,0
530,530,0
1239,1240,1
700,700,0
610,610,0
1180,1180,0
500,500,0
551,550,-1
530,530,0
0,0,0
810,810,0
652,620,-32
690,690,0
811,810,-1
1070,1070,0
762,760,-2
1230,1230,0
479,480,1
940,940,0
1135,1170,35
1230,1230,0
774,760,-14
1230,1230,0
1360,1360,0
690,690,0
900,900,0
430,430,0
580,580,0
760,760,0
670,670,0
530,530,0
900,900,0
500,500,0
870,870,0
700,700,0
1030,1030,0
550,550,0
500,500,0
1230,1230,0
1030,1030,0
541,500,-41
870,870,0
520,520,0
1060,1060,0
370,370,0
1230,1230,0
530,530,0
680,680,0
526,550,24
700,700,0
574,580,6
692,670,-22
430,430,0
433,430,-3
760,760,0
949,930,-19
611,630,19
370,370,0
1230,1230,0
690,690,0
1230,1230,0
1360,1360,0
1030,1030,0
599,590,-9
900,900,0
820,820,0
573,560,-13
530,530,0
69,0,-69
780,780,0
1030,1030,0
0,0,0
500,500,0
1230,1230,0
730,730,0
672,670,-2
577,550,-27
625,610,-15
1230,1230,0
0,0,0
560,560,0
590,590,0
430,430,0
644,640,-4
815,810,-5
1230,1230,0
620,620,0
1230,1230,0
850,850,0
930,930,0
758,810,52
850,850,0
1240,1240,0
1230,1230,0
620,630,10
940,940,0
560,560,0
523,530,7
660,660,0
690,690,0
687,690,3
532,530,-2
1060,1060,0
1067,1070,3
530,530,0
530,530,0
430,430,0
1360,1360,0
530,530,0
597,590,-7
783,780,-3
430,430,0
500,500,0
928,940,12
1230,1230,0
580,580,0
850,850,0
634,690,56
530,530,0
620,620,0
640,640,0
810,810,0
590,590,0
324,260,-64
690,690,0
779,760,-19
521,520,-1
500,500,0
310,310,0
1060,1060,0
593,590,-3
480,480,0
700,700,0
1129,1240,111
1070,1070,0
1213,1230,17
1230,1230,0
1030,1030,0
1000,1000,0
780,780,0
870,870,0
1030,1030,0
870,870,0
740,740,0
590,590,0
940,940,0
740,740,0
500,500,0
542,560,18
1230,1230,0
590,590,0
1230,1230,0
1000,1000,0
1230,1230,0
930,930,0
900,900,0
0,0,0
600,560,-40
485,500,15
52,0,-52
560,560,0
764,740,-24
597,560,-37
690,690,0
820,820,0
430,430,0
0,0,0
548,500,-48
530,530,0
900,900,0
480,480,0
760,760,0
620,620,0
740,740,0
1230,1230,0
620,620,0
610,610,0
1230,1230,0
662,660,-2
606,580,-26
1230,1230,0
1031,1070,39
618,670,52
462,530,68
810,810,0
430,430,0
1360,1360,0
1230,1230,0
1030,1030,0
602,620,18
123,0,-123
690,690,0
430,430,0
1240,1240,0
690,690,0
560,560,0
430,430,0
1107,1230,123
460,430,-30
618,610,-8
760,760,0
687,690,3
500,500,0
500,500,0
690,690,0
631,590,-41
1230,1230,0
530,530,0
0,0,0
466,470,4
590,590,0
508,560,52
890,890,0
753,740,-13
530,530,0
610,610,0
556,560,4
620,620,0
580,580,0
1230,1230,0
0,0,0
550,550,0
760,760,0
850,850,0
480,480,0
466,470,4
900,900,0
530,530,0
430,470,40
1030,1030,0
550,550,0
610,580,-30
760,760,0
730,730,0
830,900,70
760,760,0
858,690,-168
820,820,0
520,520,0
1230,1230,0
551,550,-1
430,430,0
580,580,0
769,760,-9
870,870,0
728,740,12
693,680,-13
520,520,0
370,370,0
906,910,4
1230,1230,0
690,690,0
820,820,0
900,900,0
780,780,0
1360,1360,0
1230,1230,0
520,530,10
560,560,0
560,560,0
995,1000,5
668,580,-88
403,400,-3
850,850,0
700,700,0
730,730,0
1230,1230,0
430,430,0
1108,1230,122
630,630,0
690,690,0
808,820,12
412,350,-62
1053,1060,7
620,620,0
620,630,10
530,530,0
603,610,7
785,760,-25
1230,1230,0
670,670,0
400,400,0
610,610,0
660,660,0
820,820,0
760,760,0
590,560,-30
1230,1230,0
1230,1230,0
690,690,0
760,760,0
620,620,0
1000,1000,0
477,530,53
430,430,0
438,430,-8
660,660,0
430,430,0
550,550,0
699,670,-29
1025,1020,-5
605,640,35
768,800,32
940,940,0
780,780,0
740,740,0
1045,1070,25
500,500,0
1240,1240,0
690,690,0
900,900,0
560,560,0
923,930,7
530,530,0
625,630,5
630,630,0
610,610,0
1070,1070,0
766,760,-6
690,690,0
560,560,0
580,580,0
1030,1030,0
350,350,0
1060,1060,0
520,520,0
689,690,1
1030,1030,0
760,760,0
440,430,-10
1000,1000,0
1240,1240,0
690,690,0
760,760,0
940,940,0
500,500,0
530,530,0
760,760,0
0,0,0
620,620,0
1360,1360,0
700,700,0
466,470,4
1230,1230,0
994,1000,6
780,780,0
700,700,0
690,690,0
605,610,5
1360,1360,0
610,610,0
620,620,0
1360,1360,0
0,0,0
0,0,0
740,740,0
820,820,0
400,400,0
1240,1240,0
550,550,0
530,530,0
940,940,0
730,730,0
625,620,-5
700,700,0
560,560,0
548,550,2
740,740,0
603,610,7
939,940,1
540,540,0
500,500,0
493,490,-3
700,700,0
832,820,-12
808,810,2
622,620,-2
302,0,-302
749,760,11
560,560,0
900,900,0
520,520,0
766,760,-6
1230,1230,0
740,740,0
500,500,0
782,780,-2
1230,1230,0
886,900,14
620,620,0
620,620,0
540,540,0
1360,1360,0
0,0,0
524,520,-4
1230,1230,0
1360,1360,0
1230,1230,0
400,400,0
740,740,0
252,530,278
530,530,0
508,500,-8
427,430,3
260,260,0
530,530,0
1240,1240,0
500,500,0
500,500,0
620,620,0
430,430,0
890,890,0
534,530,-4
694,730,36
260,260,0
740,740,0
1360,1360,0
1230,1230,0
1240,1240,0
532,520,-12
946,1230,284
620,620,0
688,620,-68
690,690,0
660,660,0
1360,1360,0
560,560,0
438,430,-8
560,560,0
940,940,0
540,540,0
717,620,-97
610,610,0
596,560,-36
760,760,0
560,560,0
1030,1030,0
604,470,-134
545,0,-545
560,560,0
540,540,0
1230,1230,0
500,500,0
530,530,0
1230,1230,0
600,640,40
430,430,0
1107,1230,123
900,900,0
1030,1030,0
530,530,0
530,530,0
594,560,-34
0,0,0
820,820,0
500,500,0
610,610,0
690,690,0
760,760,0
1030,1030,0
1360,1360,0
740,740,0
370,370,0
543,540,-3
430,430,0
1360,1360,0
748,740,-8
617,530,-87
1230,1230,0
560,560,0
1240,1240,0
533,540,7
810,810,0
500,500,0
681,680,-1
811,810,-1
843,820,-23
1240,1240,0
739,730,-9
